"Copyright © 2019 BRTDATA.ORG - Downloaded on 2019/06/13";"";"";"";""
"Hangzhou";"";"";"";""
"";"";"";"";""
"System Indicators";"";"";"";""
"Indicator";"Category";"Value";"Date";"Source"
"GDP per capita (US$)";"General info";"8,123";"2016";"http://databank.worldbank.org/data/reports.aspx?source=2&series=NY.GDP.PCAP.CD&country="
"Population, city";"General info";"4,454,000";"2013";"China City Statistical Yearbook. Beijing: National Statistics Bureau Press"
"Population, metro area";"General info";"4,454,000";"2013";"China City Statistical Yearbook. Beijing: National Statistics Bureau Press"
"Population density, metropolitan area";"General info";"1,452";"2013";"China City Statistical Yearbook. Beijing: National Statistics Bureau Press"
"Modal split % public transport";"General info";"";"";""
"Modal split % private transport";"General info";"";"";""
"Modal split % non motorized";"General info";"";"";""
"System name";"System info";"Hangzhou BRT";"";""
"Corridors";"System info";"3";"2013";"http://www.chinabrt.org/en/cities/hangzhou.aspx#"
"Year system commenced";"System info";"2006";"";"http://www.chinabrt.org/en/cities/hangzhou.aspx#"
"Transit agency";"System info";"Hangzhou Public Transport Group";"2013";"http://www.chinabrt.org/en/cities/hangzhou.aspx"
"Standard fare (US$)";"System info";"0,62";"2015";"http://www.worldbrt.net/en/cities/hangzhou.aspx"
"Annual fare revenue (US$ millions)";"System info";"33,85";"";"Calculated using annual demand and fare"
"Fare integration within the system";"System info";"";"";""
"Citywide fare integration (other modes)";"System info";"";"";""
"Integration terminals";"System info";"3";"2007";"Bus Rapid Transit Planning Guide (ITDP) 2007"
"Transfer stations";"System info";"";"";""
"Peak load (passengers per hour per direction)";"System info";"3,700";"2015";"http://www.worldbrt.net/en/cities/hangzhou.aspx"
"Daily demand (passengers per day)";"System info";"260,000";"2012";"http://www.chinabrt.org/en/cities/hangzhou.aspx"
"Annual demand (passengers per year)";"System info";"78,000,000";"2012";"Calculated using daily demand and 300 working days"
"Capital productivity (boardings per bus per day)";"System info";"833";"2007";"Bus Rapid Transit Planning Guide (ITDP) 2007"
"Operational productivity (IPK)";"System info";"";"";""
"Operations control center";"System info";"";"";""
"Trunk lines";"System info";"";"";""
"Feeder routes";"System info";"";"";""
"Depots";"System info";"1";"2007";"Bus Rapid Transit Planning Guide (ITDP) 2007"
"System length (km)";"Additional Information";"55,40";"2013";"http://www.chinabrt.org/en/cities/hangzhou.aspx#"
"Position of with-flow lanes";"Additional Information";"Curbside";"2007";"Bus Rapid Transit Planning Guide (ITDP) 2007"
"Position of counterflow lanes";"Additional Information";"";"";""
"Position of bus doors";"Additional Information";"Right";"2007";"Bus Rapid Transit Planning Guide (ITDP) 2007"
"Lane material on running ways";"Additional Information";"Asphalt";"2007";"Bus Rapid Transit Planning Guide (ITDP) 2007"
"Lane material at stations";"Additional Information";"Asphalt";"2007";"Bus Rapid Transit Planning Guide (ITDP) 2007"
"Stations";"Additional Information";"50";"2013";"http://www.chinabrt.org/en/cities/hangzhou.aspx#"
"Station spacing (m)";"Additional Information";"1103,0";"2013";""
"Pre-board fare collection";"Additional Information";"";"";""
"Overtaking lanes";"Additional Information";"";"";""
"Station boarding level";"Additional Information";"";"";""
"Real time information";"Additional Information";"";"";""
"Peak frequency (buses per hour)";"Additional Information";"80";"2011";"http://www.chinabrt.org/en/cities/hangzhou.aspx"
"Operating speed";"Additional Information";"18,0";"2011";"http://www.chinabrt.org/en/cities/hangzhou.aspx"
"Total fleet";"System fleet";"104";"2010";"http://www.chinabrt.org/en/cities/hangzhou.aspx#"
"Fleet, standard buses";"System fleet";"";"";""
"Average age, standard buses";"System fleet";"";"";""
"Propulsion, standard buses";"System fleet";"";"";""
"Fuel type, standard buses";"System fleet";"";"";""
"Fuel economy, standard buses";"System fleet";"";"";""
"Fleet, articulated buses";"System fleet";"";"";""
"Average age, articulated buses";"System fleet";"";"";""
"Propulsion, articulated buses";"System fleet";"";"";""
"Fuel type, articulated buses";"System fleet";"";"";""
"Fuel economy, articulated buses";"System fleet";"";"";""
"Fleet, bi-articulated buses";"System fleet";"0";"2013";"http://www.chinabrt.org/en/cities/hangzhou.aspx"
"Average age, bi-articulated buses";"System fleet";"N/A";"";""
"Propulsion, bi-articulated buses";"System fleet";"N/A";"";""
"Fuel type, bi-articulated buses";"System fleet";"N/A";"";""
"Fuel economy, bi-articulated buses";"System fleet";"N/A";"";""
"Fleet, double-decker buses";"System fleet";"0";"2013";"http://www.chinabrt.org/en/cities/hangzhou.aspx"
"Average age, double-decker buses";"System fleet";"N/A";"";""
"Propulsion, double-decker buses";"System fleet";"N/A";"";""
"Fuel type, double-decker buses";"System fleet";"N/A";"";""
"Fuel economy, double-decker buses";"System fleet";"N/A";"";""
"Typical fuel type";"System fleet";"Diesel";"2007";"Bus Rapid Transit Planning Guide (ITDP) 2007"
"City's diesel sulfur content (ppm)";"System fleet";"";"";""
"Total cost per kilometer (US$ million per km)";"System cost";"0,459";"2007";"Bus Rapid Transit Planning Guide (ITDP) 2007"
"Planning cost (US$ million)";"System cost";"0,255";"2007";"Bus Rapid Transit Planning Guide (ITDP) 2007"
"Capital cost per kilometer (US$ million per km)";"System cost";"";"";""
"Infrastructure cost per kilometer (US$ million per km)";"System cost";"0,450";"2007";"Bus Rapid Transit Planning Guide (ITDP) 2007"
"Equipment cost (US$ million)";"System cost";"14,000";"2007, only trunk vehicles";"Bus Rapid Transit Planning Guide (ITDP) 2007"
"Annual operational cost (US$ million)";"System cost";"";"";""
"User rating";"System image";"";"";""
