黑色,白色,黄色,宝蓝,红,蓝,绿,
80.71,8.21,3.62,3.15,1.64,1.6,1.08,19.3
,89.33160622,39.38860104,34.2746114,17.84455959,17.40932642,11.75129534,210
79.17,7,3.41,4.84,3.05,1.5,1.04,20.84
,70.53742802,34.36180422,48.77159309,30.73416507,15.11516315,10.47984645,210
76.21,8.01,2.12,7.9,3.2,1.56,1,23.79
,70.70617907,18.71374527,69.73518285,28.24716267,13.7704918,8.827238335,210
76.66,6.92,2.48,7.59,3.58,1.82,0.95,23.34
,62.2622108,22.31362468,68.29048843,32.21079692,16.37532134,8.547557841,210
79.77,5.75,2.74,5.55,3.46,1.15,1.57,20.22
,59.71810089,28.45697329,57.64094955,35.9347181,11.94362018,16.30563798,210
77.85,7.11,1.91,8.94,0.91,1.94,1.34,22.15
,67.40857788,18.10835214,84.75846501,8.627539503,18.39277652,12.70428894,210
76.48,6.98,1.79,8.82,3.38,2.17,0.37,23.51
,62.34793705,15.98894088,78.78349638,30.19140791,19.38324117,3.304976606,210
77.6,8,1.8,7.91,1.71,1.84,1.02,22.28
,75.40394973,16.96588869,74.5556553,16.11759425,17.34290844,9.614003591,210
76.78,7.94,2.89,6.06,1.31,1.7,3.32,23.22
,71.80878553,26.1369509,54.80620155,11.84754522,15.374677,30.02583979,210
82.39,4.59,1.78,5.26,2.5,1.89,1.59,17.61
,54.73594549,21.22657581,62.72572402,29.81260647,22.53833049,18.96081772,210
80.67,7.9,3.99,3.11,1.63,1.57,1.13,19.33
,85.82514227,43.34712882,33.7868598,17.70822556,17.05638903,12.27625453,210
79.17,6.99,3.41,4.85,3.05,1.49,1.05,20.84
,70.43666027,34.36180422,48.87236084,30.73416507,15.01439539,10.5806142,210
76.13,7.69,2.57,7.91,3.19,1.58,0.93,23.87
,67.65395894,22.60997067,69.58944282,28.06451613,13.90029326,8.181818182,210
76.69,7.14,2.06,7.64,3.62,1.88,0.97,23.31
,64.32432432,18.55855856,68.82882883,32.61261261,16.93693694,8.738738739,210
79.77,5.75,2.74,5.55,1.57,1.15,3.46,20.22
,59.71810089,28.45697329,57.64094955,16.30563798,11.94362018,35.9347181,210
77.85,7.11,1.91,8.94,1.34,1.94,0.91,22.15
,67.40857788,18.10835214,84.75846501,12.70428894,18.39277652,8.627539503,210
76.48,6.98,3.38,8.81,1.79,2.18,0.37,23.51
,62.34793705,30.19140791,78.69417269,15.98894088,19.47256487,3.304976606,210
77.58,8.11,1.8,7.91,1.75,1.84,1.02,22.43
,75.92955863,16.85242978,74.05706643,16.38430673,17.22692822,9.54971021,210
76.78,7.89,2.89,6.13,3.33,1.35,1.62,23.21
,71.38733305,26.14821198,55.46316243,30.12925463,12.21456269,14.65747523,210
82.39,4.59,1.78,5.26,2.5,1.89,1.59,17.61
,54.73594549,21.22657581,62.72572402,29.81260647,22.53833049,18.96081772,210
85.68,5.81,1.75,3.22,0.42,1.57,1.56,14.33
,85.14305652,25.64549895,47.18771807,6.154919749,23.0076762,22.8611305,210
86.1,3.47,3.42,2.38,1.81,2.11,0.71,13.9
,52.42446043,51.66906475,35.95683453,27.34532374,31.87769784,10.72661871,210
86.12,3.83,3.27,1.9,2.06,1.97,0.84,13.87
,57.98846431,49.50973324,28.76712329,31.18961788,29.82696467,12.71809661,210
81.32,5.15,1.92,5.13,2.92,2.54,1.02,18.68
,57.89614561,21.58458244,57.67130621,32.82655246,28.55460385,11.46680942,210
67.09,4.65,2.02,2.95,2.85,3.19,1.92,17.58
,55.54607509,24.12969283,35.23890785,34.0443686,38.10580205,22.93515358,210
84.29,4.04,1.75,4.24,1.77,1.72,2.2,15.72
